id,date,decision,why_now,assumption,confidence,owner,next_action,success_metric,review_date,risk_if_delayedDEC-834FB978,2026-06-23,Run weekly decision review with founding team.,Decision backlog and stale assumptions increase execution risk.,Founders can commit 30 minutes weekly to review.,medium,CEO,Schedule recurring 30-min review and share decisions log.,>=80% of decisions reviewed by their review_date.,2026-07-07,Stale assumptions compound; bottlenecks go unaddressed.
DEC-4D3B0740,2026-06-23,Run weekly decision review with founding team.,Decision backlog and stale assumptions increase execution risk.,Founders can commit 30 minutes weekly to review.,medium,CEO,Schedule recurring 30-min review and share decisions log.,>=80% of decisions reviewed by their review_date.,2026-07-07,Stale assumptions compound; bottlenecks go unaddressed.
DEC-518ADB27,2026-06-23,Run weekly decision review with founding team.,Decision backlog and stale assumptions increase execution risk.,Founders can commit 30 minutes weekly to review.,medium,CEO,Schedule recurring 30-min review and share decisions log.,>=80% of decisions reviewed by their review_date.,2026-07-07,Stale assumptions compound; bottlenecks go unaddressed.
DEC-E683AD87,2026-06-30,Run weekly decision review with founding team.,Decision backlog and stale assumptions increase execution risk.,Founders can commit 30 minutes weekly to review.,medium,CEO,Schedule recurring 30-min review and share decisions log.,>=80% of decisions reviewed by their review_date.,2026-07-14,Stale assumptions compound; bottlenecks go unaddressed.
DEC-B4F8A700,2026-06-30,Run weekly decision review with founding team.,Decision backlog and stale assumptions increase execution risk.,Founders can commit 30 minutes weekly to review.,medium,CEO,Schedule recurring 30-min review and share decisions log.,>=80% of decisions reviewed by their review_date.,2026-07-14,Stale assumptions compound; bottlenecks go unaddressed.
DEC-0DD2B3AD,2026-06-30,Run weekly decision review with founding team.,Decision backlog and stale assumptions increase execution risk.,Founders can commit 30 minutes weekly to review.,medium,CEO,Schedule recurring 30-min review and share decisions log.,>=80% of decisions reviewed by their review_date.,2026-07-14,Stale assumptions compound; bottlenecks go unaddressed.
DEC-F2DAA1CD,2026-06-30,Run weekly decision review with founding team.,Decision backlog and stale assumptions increase execution risk.,Founders can commit 30 minutes weekly to review.,medium,CEO,Schedule recurring 30-min review and share decisions log.,>=80% of decisions reviewed by their review_date.,2026-07-14,Stale assumptions compound; bottlenecks go unaddressed.
DEC-03D4CB02,2026-06-30,Run weekly decision review with founding team.,Decision backlog and stale assumptions increase execution risk.,Founders can commit 30 minutes weekly to review.,medium,CEO,Schedule recurring 30-min review and share decisions log.,>=80% of decisions reviewed by their review_date.,2026-07-14,Stale assumptions compound; bottlenecks go unaddressed.
DEC-2CE2D44E,2026-06-30,Run weekly decision review with founding team.,Decision backlog and stale assumptions increase execution risk.,Founders can commit 30 minutes weekly to review.,medium,CEO,Schedule recurring 30-min review and share decisions log.,>=80% of decisions reviewed by their review_date.,2026-07-14,Stale assumptions compound; bottlenecks go unaddressed.
DEC-8583BDC8,2026-06-30,Run weekly decision review with founding team.,Decision backlog and stale assumptions increase execution risk.,Founders can commit 30 minutes weekly to review.,medium,CEO,Schedule recurring 30-min review and share decisions log.,>=80% of decisions reviewed by their review_date.,2026-07-14,Stale assumptions compound; bottlenecks go unaddressed.
DEC-84192C39,2026-06-30,Run weekly decision review with founding team.,Decision backlog and stale assumptions increase execution risk.,Founders can commit 30 minutes weekly to review.,medium,CEO,Schedule recurring 30-min review and share decisions log.,>=80% of decisions reviewed by their review_date.,2026-07-14,Stale assumptions compound; bottlenecks go unaddressed.
DEC-5FCD0761,2026-06-30,Run weekly decision review with founding team.,Decision backlog and stale assumptions increase execution risk.,Founders can commit 30 minutes weekly to review.,medium,CEO,Schedule recurring 30-min review and share decisions log.,>=80% of decisions reviewed by their review_date.,2026-07-14,Stale assumptions compound; bottlenecks go unaddressed.
DEC-6E292EB7,2026-06-30,Run weekly decision review with founding team.,Decision backlog and stale assumptions increase execution risk.,Founders can commit 30 minutes weekly to review.,medium,CEO,Schedule recurring 30-min review and share decisions log.,>=80% of decisions reviewed by their review_date.,2026-07-14,Stale assumptions compound; bottlenecks go unaddressed.
